zat_aktif,category,nama_produk,komposisi
['NADIFLOXACIN'],antibiotik_fluorokuinolon,ACNEDINE,NADIFLOXACIN
"['DIAZEPAM', 'METAMIZOLE SODIUM']",antikonvulsan,ANALSIK,DIAZEPAM | METAMIZOLE SODIUM
[],statin,ATOZET,ATORVASTATIN CALCIUM TRIHYDRATE. EZETIMIBE
[],kortikosteroid,BAYCUTEN-N,CLOTRIMAZOLE. DEXAMETHASONE ACETATE
[],kortikosteroid,BIOCORT,BETAMETHASONE VALERATE. GENTAMICIN SULFATE
"['LACTIC ACID', 'LAUROMACROGOLUM 400', 'SALICYLIC ACID']",nsaid,CALLUSOL,LACTIC ACID | LAUROMACROGOLUM 400 | SALICYLIC ACID
['CANAGLIFLOZIN HYDRATE'],antidiabetes,CANAGLU,CANAGLIFLOZIN HYDRATE
[],kortikosteroid,CELESTAR,DEXCHLORPHENIRAMINE MALEATE. BETAMETHASONE
['LOVASTATIN'],statin,CHOLVASTIN,LOVASTATIN
['CLONAZEPAM'],antikonvulsan,CLONAZEPAM,CLONAZEPAM
[],kortikosteroid,COLERGIS,BETAMETHASONE. DEXCHLORPHENIRAMINE MALEATE
['ZINC OXIDE. NYSTATIN'],statin,CUTALES,ZINC OXIDE. NYSTATIN
['DIAZEPAM'],antikonvulsan,DIAZEPAM,DIAZEPAM
[],kortikosteroid,DIPROSALIC,SALICYLIC ACID. BETAMETHASONE DIPROPIONATE
['DOPAMINE HYDROCHLORIDE'],dopaminergik_parkinson,DOPAMIN GIULINI 200,DOPAMINE HYDROCHLORIDE
['NITRAZEPAM'],antikonvulsan,DUMOLID,NITRAZEPAM
['ENAVOGLIFLOZIN'],antidiabetes,ENVLO,ENAVOGLIFLOZIN
[],xantin,EXADON,PARACETAMOL. CAFFEINE
['IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM'],statin,FIOCILAS,KOMBINASI-IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM
['FINERENONE'],diuretik_hemat_kalium,FIRIALTA,FINERENONE
['GATIFLOXACIN SESQUIHYDRATE'],antibiotik_fluorokuinolon,GIFLOX,GATIFLOXACIN SESQUIHYDRATE
[],antidiabetes,GLUCOVANCE,METFORMIN HYDROCHLORIDE. GLIBENCLAMIDE
[],kortikosteroid,HELTISKIN,CLOTRIMAZOLE. BETAMETHASONE DIPROPIONATE
['NEPAFENAC'],nsaid,ILEVRO,NEPAFENAC
['IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM ~ IMIPENEM 500MG & CILASTATIN 500MG'],statin,IMIPENEM MONOHYDRATE / CILASTATIN SODIUM,KOMBINASI-IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM ~ IMIPENEM 500MG & CILASTATIN 500MG
['IMIPENEM MONOHYDRATE DAN CILASTATIN SODIUM 1 G ~ IMIPENEM 500 MG DAN CILASTATIN 500 MG'],statin,IMITATIN,KOMBINASI-IMIPENEM MONOHYDRATE DAN CILASTATIN SODIUM 1 G ~ IMIPENEM 500 MG DAN CILASTATIN 500 MG
['LACTIC ACID. SALICYLIC ACID. LAUROMACROGOLUM 400'],nsaid,KUTILOS,LACTIC ACID. SALICYLIC ACID. LAUROMACROGOLUM 400
['NIMETAZEPAM'],antikonvulsan,LAVOL,NIMETAZEPAM
['NYSTATIN. METRONIDAZOLE'],statin,LAVULA,NYSTATIN. METRONIDAZOLE
['BROMAZEPAM'],antikonvulsan,LEXZEPAM 3,BROMAZEPAM
['EDOXABAN TOSYLATE'],antikoagulan,LIXIANA,EDOXABAN TOSYLATE
['CEFAZOLIN SODIUM'],antikoagulan,MAXPARIN,CEFAZOLIN SODIUM
['LORAZEPAM'],antikonvulsan,MERLOPAM 2,LORAZEPAM
"['NYSTATIN', 'ZINC OXIDE']",statin,MYCONIX,NYSTATIN | ZINC OXIDE
['BISMUTH SUBSALICYLATE'],nsaid,NEO ADIAR,BISMUTH SUBSALICYLATE
['NICARDIPINE HYDROCHLORIDE'],ccb,NICARDIPINE HCL,NICARDIPINE HYDROCHLORIDE
['NIMODIPINE'],ccb,NIMOTOP,NIMODIPINE
['NYSTATIN'],statin,NYSTATIN,NYSTATIN
['SAXAGLIPTIN'],antidiabetes,ONGLYZA,SAXAGLIPTIN
[],xantin,OSKADON MIGRA,CAFFEINE | PARACETAMOL | PROPYPHENAZONE
['PEFLOXACIN MESILATE DIHYDRATE'],antibiotik_fluorokuinolon,OXAFLOX,PEFLOXACIN MESILATE DIHYDRATE
['IMIPENEM MONOHYDRATE DAN CILASTATIN SODIUM 1 G ~ IMIPENEM 500 MG DAN CILASTATIN'],statin,PELASTIN,KOMBINASI-IMIPENEM MONOHYDRATE DAN CILASTATIN SODIUM 1 G ~ IMIPENEM 500 MG DAN CILASTATIN
['TENOXICAM'],nsaid,PILOPIL,TENOXICAM
['MINOXIDIL'],ccb,ROEGAN 2,MINOXIDIL
"['METRONIDAZOLE', 'NYSTATIN']",statin,RONASTIN,METRONIDAZOLE | NYSTATIN
"['FINASTERIDE', 'MINOXIDIL']",ccb,SANBE-HAIR,FINASTERIDE | MINOXIDIL
['OCTREOTIDE'],statin,SANDOSTATIN,OCTREOTIDE
['OCTREOTIDE ACETATE'],statin,SANDOSTATIN LAR,OCTREOTIDE ACETATE
['SOLIFENACIN SUCCINATE'],nsaid,SOLIFIX,SOLIFENACIN SUCCINATE
['SOMATOSTATIN'],statin,SOMANOVELL,SOMATOSTATIN
['SOMATOSTATIN ACETATE'],statin,SOMATOSTATIN LYOMARK,SOMATOSTATIN ACETATE
['TIGECYCLINE'],antibiotik_tetrasiklin,T-GYCLINE,TIGECYCLINE
"['SOLIFENACIN SUCCINATE', 'TAMSULOSIN HYDROCHLORIDE']",nsaid,TAMSOLI,SOLIFENACIN SUCCINATE | TAMSULOSIN HYDROCHLORIDE
['TENELIGLIPTIN HYDROBROMIDE HYDRATE'],antidiabetes,TENELIA,TENELIGLIPTIN HYDROBROMIDE HYDRATE
['IMIPENEM MONOHYDRATE. CILASTATIN SODIUM'],statin,TIENAM,IMIPENEM MONOHYDRATE. CILASTATIN SODIUM
['IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM 1 G ~ IMIPENEM 500 MG DAN CILASTATIN 500 MG'],statin,TIMIPEN,IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM 1 G ~ IMIPENEM 500 MG DAN CILASTATIN 500 MG
['METRONIDAZOLE. NYSTATIN'],statin,TRICHODAZOL PLUS,METRONIDAZOLE. NYSTATIN
['IMIDAFENACIN'],nsaid,URITOS,IMIDAFENACIN
['VILDAGLIPTIN'],antidiabetes,VILDAGLIPTIN,VILDAGLIPTIN
['IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM 1080 MG ~ IMIPENEM 500 MG DAN CILASTATIN'],statin,XERXES IV,KOMBINASI-IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM 1080 MG ~ IMIPENEM 500 MG DAN CILASTATIN
['CEFTAROLINEFOSAMIL ACETIC ACID SOLVATE MONOHYDRATE'],ccb,ZINFORO,CEFTAROLINEFOSAMIL ACETIC ACID SOLVATE MONOHYDRATE
